NO,KODE,Nama Prodi,JENJANG,DAYA TAMPUNG 2025,PEMINAT 2024,JENIS PORTOFOLIO,KAB / KOTA,Universitas,PROVINSI-1,PROVINSI-2,SITUS_WEB,Kelompok,Rasio Peminat,Kategori,Gaji Minimal,Gaji Maksimal,Prospek Kerja 1,Prospek Kerja 2,Prospek Kerja 3,Prospek Kerja 4,Hasil,Bidang Ilmu
8,11151008,BAHASA ACEH,Sarjana,14,2,Tidak Ada,Kabupaten Aceh Besar,ISBI ACEH,Aceh,,http://pmb.isbiaceh.ac.id/,Bahasa & Budaya Lokal,"2,19",Sepi Peminat,Rp3.000.000,Rp6.000.000,Peneliti Budaya,Guru Bahasa Daerah,,,Cukup Potensial,Soshum
9,11151009,DESAIN INTERIOR,Sarjana,28,19,"Seni Rupa, Desain, dan Kriya",Kabupaten Aceh Besar,ISBI ACEH,Aceh,,http://pmb.isbiaceh.ac.id/,Desain & Arsitektur,"4,03",Sepi Peminat,Rp5.000.000,Rp15.000.000,Arsitek,Desainer Interior,Visualisasi Arsitektur,Konsultan Properti,Sangat Prospektif,Saintek
6,11151006,DESAIN KOMUNIKASI VISUAL,Sarjana,28,22,"Seni Rupa, Desain, dan Kriya",Kabupaten Aceh Besar,ISBI ACEH,Aceh,,http://pmb.isbiaceh.ac.id/,Desain & Komunikasi Visual,"5,27",Sepi Peminat,Rp4.000.000,Rp7.000.000,Graphic Desainer,UI/UX Desainer,Ilustrator,Creative Director,Sangat Prospektif,Saintek
7,11151007,KAJIAN SASTRA BUDAYA,Sarjana,14,6,Tidak Ada,Kabupaten Aceh Besar,ISBI ACEH,Aceh,,http://pmb.isbiaceh.ac.id/,Kajian Sastra & Budaya,"0,43",Sepi Peminat,Rp3.500.000,Rp7.500.000,Kurator Budaya,Penulis,Akademisi,Konsultan Konten Budaya,Sangat Prospektif,Soshum
5,11151005,KRIYA SENI,Sarjana,21,9,"Seni Rupa, Desain, dan Kriya",Kabupaten Aceh Besar,ISBI ACEH,Aceh,,http://pmb.isbiaceh.ac.id/,Seni & Kriya,"0,90",Sepi Peminat,Rp3.000.000,Rp8.000.000,Perajin Profesional,Desainer Produk Seni,,,Cukup Potensial,Soshum
1,11151001,SENI KARAWITAN,Sarjana,21,7,Seni Karawitan,Kabupaten Aceh Besar,ISBI ACEH,Aceh,,http://pmb.isbiaceh.ac.id/,Seni & Budaya,"1,75",Sepi Peminat,Rp3.500.000,Rp8.000.000,Seniman Profesional,Pengelola Kegiatan Budaya,Kurator Budaya,,Sangat Potensial,Soshum
4,11151004,SENI RUPA MURNI,Sarjana,21,10,"Seni Rupa, Desain, dan Kriya",Kabupaten Aceh Besar,ISBI ACEH,Aceh,,http://pmb.isbiaceh.ac.id/,Seni & Desain,"4,98",Sepi Peminat,Rp3.500.000,Rp6.500.000,Desainer Grafis,Ilustrator,Animator ,Guru Seni,Sangat Prospektif,Soshum
2,11151002,SENI TARI,Sarjana,21,31,Tari,Kabupaten Aceh Besar,ISBI ACEH,Aceh,,http://pmb.isbiaceh.ac.id/,Seni & Budaya,"1,75",Sepi Peminat,Rp3.500.000,Rp8.000.000,Seniman Profesional,Pengelola Kegiatan Budaya,Kurator Budaya,,Sangat Potensial,Soshum
3,11151003,SENI TEATER,Sarjana,14,1,Teater,Kabupaten Aceh Besar,ISBI ACEH,Aceh,,http://pmb.isbiaceh.ac.id/,Seni & Budaya,"1,75",Sepi Peminat,Rp3.500.000,Rp8.000.000,Seniman Profesional,Pengelola Kegiatan Budaya,Kurator Budaya,,Sangat Potensial,Soshum
32,11121032,ADMINISTRASI BISNIS,Sarjana,75,199,Tidak Ada,Kabupaten Aceh Utara,UNIVERSITAS MALIKUSSALEH,Aceh,,http://pmb.unimal.ac.id/,Administrasi Bisnis & Manajemen,"14,07",Sedang,Rp4.000.000,Rp7.000.000,Staf Administrasi Bisnis,Sales Analyst,,,Cukup Potensial,Saintek
